sample_id	gsm_accession	srr_accession	condition	patient_id	fraction
LGG-03	GSM5518638	SRR15458845	LGG	03	
LGG-04-1	GSM5518630	SRR15458837	LGG	04	1
LGG-04-2	GSM5518631	SRR15458838	LGG	04	2
LGG-04-3	GSM5518632	SRR15458839	LGG	04	3
ndGBM-01-A	GSM5518600	SRR15458807	ndGBM	01	A
ndGBM-01-C	GSM5518601	SRR15458808	ndGBM	01	C
ndGBM-01-D	GSM5518602	SRR15458809	ndGBM	01	D
ndGBM-01-F	GSM5518603	SRR15458810	ndGBM	01	F
ndGBM-02-1	GSM5518608	SRR15458815	ndGBM	02	1
ndGBM-02-2	GSM5518609	SRR15458816	ndGBM	02	2
ndGBM-02-4	GSM5518610	SRR15458817	ndGBM	02	4
ndGBM-02-5	GSM5518611	SRR15458818	ndGBM	02	5
ndGBM-03-1	GSM5518623	SRR15458830	ndGBM	03	1
ndGBM-03-2	GSM5518624	SRR15458831	ndGBM	03	2
ndGBM-03-3	GSM5518625	SRR15458832	ndGBM	03	3
ndGBM-04	GSM5518633	SRR15458840	ndGBM	04	
ndGBM-05	GSM5518634	SRR15458841	ndGBM	05	
ndGBM-06	GSM5518635	SRR15458842	ndGBM	06	
ndGBM-07	GSM5518636	SRR15458843	ndGBM	07	
ndGBM-08	GSM5518637	SRR15458844	ndGBM	08	
ndGBM-09	GSM5518639	SRR15458846	ndGBM	09	
ndGBM-10	GSM5518629	SRR15458836	ndGBM	10	
ndGBM-11-A	GSM5518604	SRR15458811	ndGBM	11	A
ndGBM-11-B	GSM5518605	SRR15458812	ndGBM	11	B
ndGBM-11-C	GSM5518606	SRR15458813	ndGBM	11	C
ndGBM-11-D	GSM5518607	SRR15458814	ndGBM	11	D
rGBM-01-A	GSM5518596	SRR15458803	rGBM	01	A
rGBM-01-B	GSM5518597	SRR15458804	rGBM	01	B
rGBM-01-C	GSM5518598	SRR15458805	rGBM	01	C
rGBM-01-D	GSM5518599	SRR15458806	rGBM	01	D
rGBM-02-2	GSM5518612	SRR15458819	rGBM	02	2
rGBM-02-3	GSM5518613	SRR15458820	rGBM	02	3
rGBM-02-4	GSM5518614	SRR15458821	rGBM	02	4
rGBM-02-5	GSM5518615	SRR15458822	rGBM	02	5
rGBM-03-1	GSM5518616	SRR15458823	rGBM	03	1
rGBM-03-2	GSM5518617	SRR15458824	rGBM	03	2
rGBM-03-3	GSM5518618	SRR15458825	rGBM	03	3
rGBM-04-1	GSM5518619	SRR15458826	rGBM	04	1
rGBM-04-2	GSM5518620	SRR15458827	rGBM	04	2
rGBM-04-3	GSM5518621	SRR15458828	rGBM	04	3
rGBM-04-4	GSM5518622	SRR15458829	rGBM	04	4
rGBM-05-1	GSM5518626	SRR15458833	rGBM	05	1
rGBM-05-2	GSM5518627	SRR15458834	rGBM	05	2
rGBM-05-3	GSM5518628	SRR15458835	rGBM	05	3
